Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C17, C19, C3, C30, C38, C46, C54, C7, C8",0603,13,100n,
"C11, C15, C5",0603,3,1u,
"C12, C33, C34, C35, C36, C41, C42, C43, C44, C49, C50, C51, C52, C57, C58, C59, C60",0603,17,10n,
C14,CP_Elec_6.3x5.4,1,68u,
C18,0603,1,10uF,
"C2, C4",0603,2,4.7u,
"C29, C37, C45, C53",0603,4,220p,
"C31, C39, C47, C55",0603,4,22n,
"C32, C40, C48, C56",0603,4,470n,
C6,0603,1,10u,
C9,CP_Elec_6.3x7.7,1,100u,
"D1, D2, D7",0603,3,LED,
"D10, D11, D8, D9",D_SMA,4,D_Schottky,
D3,PESD5V0S1BL315,1,PESD24VF1BLYL,
D4,D_SOD-123,1,D_Schottky_Small,
D5,SOT-23,1,PESD2CAN.215,
Dr1,D_SMA,1,SS34ALH,
F1,FUSC7451X125N,1,2920L050_72DR,
FB1,0603,1,FerriteBead_Small,
"FB2, FB3",0603,2,60R@100MHz,
"IC2, IC3, IC4, IC5",SOP65P600X115-25N,4,BTS722204ESAXUMA1,
J1,FTSH-107-XX-YYY-DV-K-A,1,FTSH-107-01-L-DV-K-A,
"J2, J7",UPT080101LRA,2,UPT-08-01-01-L-RA,
J5,SAMTEC_UPT-02-01-01-X-RA,1,UPT-02-01-01-X-RA,
J6,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_01x06,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,
L1,0603,1,300n,
L4,L_6.3x6.3_H3,1,47u,
R1,0603,1,120,
"R10, R19, R2, R28, R3, R37, R4, R46, R47, R48, R49, R5, R50, R51, R52, R53, R6, R7, R8, R9",0603,20,1.2k,
"R11, R13, R20, R22, R29, R31, R38, R40, R58, R59, R60, R61",0603,12,4.7k,
"R12, R21, R30, R39",0603,4,470,
"R14, R15, R16, R17, R23, R24, R25, R26, R32, R33, R34, R35, R41, R42, R43, R44",0603,16,10k,
"R18, R27, R36, R45",0603,4,47,
R54,0603,1,100k,
"R55, R56, R57",0603,3,330,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G0C1KCTxN,
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM2675M-5.0/NOPB,
U5,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2542FDxMF,
