Designator,Mid X,Mid Y,Rotation,Layer
C1,33.87875,12.27875,270.0,top
C10,23.125,36.5,180.0,top
C11,28.2,31.3,270.0,top
C12,38.815,41.135,0.0,top
C13,24.6,27.6,0.0,top
C14,27.6,43.83,90.0,top
C15,32.49,37.83,0.0,top
C16,32.49,39.33,0.0,top
C17,24.4075,-15.7875,90.0,top
C18,26.03875,-11.2,180.0,top
C19,26.06375,-9.7,180.0,top
C2,32.37875,12.27875,270.0,top
C29,44.7,-46.1125,90.0,top
C3,19.7,15.3,180.0,top
C30,43.1875,-31.2875,180.0,top
C31,48.6,-32.5,180.0,top
C32,45.725,-33.675,270.0,top
C33,62.5875,-31.5,0.0,bottom
C34,62.5875,-35.5,0.0,bottom
C35,62.5875,-39.0,0.0,bottom
C36,80.1,-42.1,0.0,bottom
C37,44.7,-26.1125,90.0,top
C38,45.2375,-11.2,180.0,top
C39,48.6,-12.5,180.0,top
C4,19.7,13.8,180.0,top
C40,45.725,-13.675,270.0,top
C41,62.5875,-16.0,0.0,bottom
C42,62.5875,-20.0,0.0,bottom
C43,62.5875,-24.0,0.0,bottom
C44,62.5875,-27.5,0.0,bottom
C45,44.7,-6.1125,90.0,top
C46,43.2,8.7125,180.0,top
C47,48.6,7.5,180.0,top
C48,45.725,6.325,270.0,top
C49,62.5875,9.5,0.0,bottom
C5,49.4,35.23,90.0,top
C50,62.5875,5.5,0.0,bottom
C51,62.5875,2.0,0.0,bottom
C52,62.5875,-2.0,0.0,bottom
C53,44.7,13.9625,90.0,top
C54,43.1625,28.7875,180.0,top
C55,48.6,27.575,180.0,top
C56,45.725,26.4,270.0,top
C57,81.0375,24.2,0.0,bottom
C58,81.0375,22.5,0.0,bottom
C59,62.5875,17.0,0.0,bottom
C6,47.9,35.23,90.0,top
C60,62.5875,13.5,0.0,bottom
C7,46.4,35.23,90.0,top
C8,44.9,35.23,90.0,top
C9,46.69,43.93,90.0,top
D1,27.75,-40.275,0.0,top
D10,50.6,-6.2,0.0,top
D11,50.6,13.875,0.0,top
D2,27.75,-43.45,0.0,top
D3,52.3,34.3,90.0,top
D4,41.59,46.48,90.0,top
D5,19.55,-22.7875,90.0,top
D7,27.75,-46.625,0.0,top
D8,50.6,-46.2,0.0,top
D9,50.6,-26.2,0.0,top
Dr1,52.3,41.5,90.0,top
F1,57.4,40.5,270.0,top
FB1,19.7125,16.8,0.0,top
FB2,22.8825,-15.8,90.0,top
FB3,29.03875,-11.2,180.0,top
IC2,50.4,-38.2,0.0,top
IC3,50.4,-18.2,0.0,top
IC4,50.4,1.8,0.0,top
IC5,50.4,21.875,0.0,top
J1,25.365,-2.1,90.0,top
J2,68.9,-2.905,90.0,top
J5,67.4075,41.06,90.0,top
J6,18.4,-30.65,0.0,top
J7,68.9,-43.965,90.0,top
JP1,27.15,-19.15,90.0,top
L1,47.15,37.48,180.0,top
L4,36.04,45.43,180.0,top
R1,30.2,-15.7,180.0,top
R10,37.175,5.475,0.0,top
R11,46.2,-46.1125,90.0,top
R12,43.225,-34.2875,0.0,top
R13,47.8,-43.6,0.0,top
R14,40.5,-42.8125,90.0,top
R15,42.0,-42.8125,90.0,top
R16,43.5,-42.8125,90.0,top
R17,45.0,-42.8125,90.0,top
R18,43.225,-32.7875,0.0,top
R19,51.1,-43.6,0.0,top
R2,37.175,-34.525,0.0,top
R20,46.2,-26.1125,90.0,top
R21,43.225,-14.2875,0.0,top
R22,47.8,-23.6,0.0,top
R23,40.5,-22.8125,90.0,top
R24,42.0,-22.8125,90.0,top
R25,43.5,-22.8125,90.0,top
R26,45.0,-22.8125,90.0,top
R27,43.225,-12.7875,0.0,top
R28,51.1,-23.6,0.0,top
R29,46.2,-6.1125,90.0,top
R3,37.175,-36.025,0.0,top
R30,43.225,5.7125,0.0,top
R31,47.8,-3.6,0.0,top
R32,40.5,-2.8125,90.0,top
R33,42.0,-2.8125,90.0,top
R34,43.5,-2.8125,90.0,top
R35,45.0,-2.8125,90.0,top
R36,43.225,7.2125,0.0,top
R37,51.1,-3.6,0.0,top
R38,46.2,13.9625,90.0,top
R39,43.225,25.7875,0.0,top
R4,37.175,-37.525,0.0,top
R40,47.8,16.475,0.0,top
R41,40.5,17.2625,90.0,top
R42,42.0,17.2625,90.0,top
R43,43.5,17.2625,90.0,top
R44,45.0,17.2625,90.0,top
R45,43.225,27.2875,0.0,top
R46,51.1,16.475,0.0,top
R47,37.175,3.975,0.0,top
R48,37.175,2.475,0.0,top
R49,37.175,0.9875,0.0,top
R5,37.175,-39.0125,0.0,top
R50,37.175,25.55,0.0,top
R51,37.175,24.05,0.0,top
R52,37.175,22.55,0.0,top
R53,37.175,21.0625,0.0,top
R54,20.15,-0.43,270.0,top
R55,31.76,-40.275,180.0,top
R56,31.76,-43.45,180.0,top
R57,31.76,-46.625,180.0,top
R58,37.175,-40.475,0.0,top
R59,37.175,-20.475,0.0,top
R6,37.175,-14.525,0.0,top
R60,37.175,-0.475,0.0,top
R61,37.175,19.6,0.0,top
R7,37.175,-16.025,0.0,top
R8,37.175,-17.525,0.0,top
R9,37.175,-19.0125,0.0,top
U1,26.37875,13.87875,180.0,top
U2,23.0,32.0,180.0,top
U3,38.815,37.635,0.0,top
U5,26.9075,-15.15,270.0,top
